diagnosis	assay	tumorType
Neurofibromatosis type 1	whole exome sequencing	Plexiform Neurofibroma
Neurofibromatosis type 1	whole exome sequencing	Malignant Peripheral Nerve Sheath Tumor
Neurofibromatosis type 1	whole genome sequencing	Malignant Peripheral Nerve Sheath Tumor
Neurofibromatosis type 1	conventional MRI	Unknown
Not Applicable	immunohistochemistry	Cutaneous Neurofibroma
Neurofibromatosis type 1	cell viability assay	Cutaneous Neurofibroma
Neurofibromatosis type 1	immunocytochemistry	Cutaneous Neurofibroma
Neurofibromatosis type 1	conventional MRI	Unknown
NF2-related schwannomatosis	RNA-seq	schwannoma
Neurofibromatosis type 1	3D microtissue viability	Malignant Peripheral Nerve Sheath Tumor
